,CitingAffiliatoinId,CitedAffiliatoinId,type_1,year_citing,year_cited,type_2,type_3,type_4
127,12912129,197604219,231,1990,1990,6,8.901631553936319,23.15384615384614
128,12912129,219193219,47,1990,1990,5,7.86021505376344,9.166666666666666
129,12912129,1282311441,18,1990,1990,1,0.14516129032258057,1.125
130,12912129,1289243028,12,1990,1990,1,0.09677419354838707,0.75
131,12912129,1315649409,2205,1990,1990,18,59.79604775754254,210.7832167832185
132,12912129,1336096307,3,1990,1990,1,1.0,1.0
133,12912129,1343871089,25,1990,1990,2,0.693548387096774,2.0
134,16285277,16285277,5,1990,1990,5,2.0,2.5
135,16285277,103163165,8,1990,1990,1,8.0,8.0
136,16285277,135310074,24,1990,1990,1,24.0,24.0
137,16285277,859038795,2,1990,1990,2,1.0,1.0
138,16452829,165951966,2,1990,1990,1,1.0,2.0
139,16452829,1285764155,18,1990,1990,2,6.0,18.0
140,16944753,16944753,50,1990,1990,10,20.0,44.666666666666664
141,16944753,74973139,7,1990,1990,3,3.0,7.0
142,16944753,106465526,4,1990,1990,2,1.0,1.3333333333333333
143,16944753,107077323,4,1990,1990,2,2.0,4.0
144,16944753,1338920048,4,1990,1990,2,1.0,1.3333333333333333
145,17301866,12912129,111,1990,1990,7,0.9496169104719323,7.788461538461542
146,17301866,17301866,20,1990,1990,3,6.032258064516129,16.25
147,17301866,20089843,103,1990,1990,7,0.8795270915983899,7.201923076923079
148,17301866,27837315,107,1990,1990,7,0.9117851561145189,7.451923076923079
149,17301866,36258959,70,1990,1990,7,0.6051973608735906,4.951923076923076
150,17301866,40347166,44,1990,1990,3,0.3920481546016158,3.3846153846153832
151,17301866,63966007,322,1990,1990,7,2.7462713455222634,22.46153846153845
152,17301866,66946132,46,1990,1990,3,0.4107397433866625,3.5384615384615374
153,17301866,74973139,112,1990,1990,11,0.9536315262620952,7.778846153846157
154,17301866,103163165,9,1990,1990,1,0.08411214953271028,0.6923076923076923
155,17301866,103635307,56,1990,1990,3,0.4972279423412008,4.3076923076923075
156,17301866,122411786,96,1990,1990,7,0.818334490330051,6.66346153846154
157,17301866,135310074,21,1990,1990,1,0.19626168224299065,1.6153846153846148
158,17301866,136199984,57,1990,1990,7,0.48113947724380457,3.9230769230769225
159,17301866,145311948,71,1990,1990,7,0.6006088666323394,4.884615384615385
160,17301866,177328695,45,1990,1990,7,0.38391670690809765,3.1442307692307687
161,17301866,197604219,28,1990,1990,3,0.2494851892919373,2.1538461538461537
162,17301866,219193219,8,1990,1990,1,0.06451612903225806,0.5
163,17301866,1282311441,6,1990,1990,1,0.04838709677419355,0.375
164,17301866,1289243028,4,1990,1990,1,0.03225806451612903,0.25
165,17301866,1315649409,239,1990,1990,7,2.0376118734009037,16.653846153846146
166,17301866,1343871089,8,1990,1990,1,0.06451612903225806,0.5
167,17626003,17626003,15,1990,1990,4,5.25,9.5
168,17626003,87208437,3,1990,1990,1,0.75,1.5
169,17626003,138006243,2,1990,1990,2,1.0,1.0
170,17626003,185103710,1,1990,1990,1,0.16666666666666666,0.3333333333333333
171,19648265,19648265,14,1990,1990,3,10.0,14.0
172,19700959,145608581,6,1990,1990,1,0.9999999999999999,3.0
173,19772626,145608581,8,1990,1990,1,8.0,8.0
174,19990318,102322142,1,1990,1990,1,0.5,0.25
175,20089843,12912129,927,1990,1990,12,8.077100842812035,74.72465034965032
176,20089843,17301866,14,1990,1990,1,0.11290322580645157,0.875
177,20089843,20089843,970,1990,1990,66,83.33747638583836,191.73470279720271
178,20089843,27804330,1,1990,1990,1,0.5,0.5
179,20089843,27837315,861,1990,1990,16,11.450379611644829,72.60970279720277
180,20089843,36258959,653,1990,1990,13,8.727654832188101,55.89117132867132
181,20089843,36672615,3,1990,1990,3,1.1428571428571428,1.1666666666666665
182,20089843,40036882,2,1990,1990,2,2.0,2.0
183,20089843,40347166,253,1990,1990,3,2.2782353872960543,19.461538461538446
184,20089843,57206974,3,1990,1990,2,0.7857142857142857,0.8333333333333333
185,20089843,58956616,20,1990,1990,4,8.000000000000005,20.0
186,20089843,63533367,10,1990,1990,1,0.9090909090909093,1.25
187,20089843,63966007,2611,1990,1990,14,26.176296127929525,212.57692307692537
188,20089843,66946132,268,1990,1990,4,2.9090765087913812,21.03846153846152
189,20089843,72090969,10,1990,1990,8,7.976190476190476,8.166666666666666
190,20089843,74973139,888,1990,1990,19,14.598418042172364,82.42293123543114
191,20089843,79576946,2,1990,1990,2,2.0,2.0
192,20089843,95457486,12,1990,1990,3,12.0,12.0
193,20089843,97018004,4,1990,1990,4,1.6428571428571428,1.6666666666666665
194,20089843,102322142,23,1990,1990,6,12.5,22.333333333333332
195,20089843,103163165,267,1990,1990,5,2.713447012508532,25.209790209790214
196,20089843,103635307,317,1990,1990,3,2.8450023760494196,24.38461538461535
197,20089843,114027177,1,1990,1990,1,0.3333333333333333,0.5
198,20089843,122411786,769,1990,1990,12,6.703638906841177,61.41302447552448
199,20089843,135310074,606,1990,1990,5,6.389457170600708,58.489510489510685
200,20089843,136199984,415,1990,1990,17,7.51071392611254,38.16083916083913
201,20089843,145311948,544,1990,1990,17,17.765357713472664,71.52972027972024
202,20089843,157725225,12,1990,1990,6,4.333333333333333,6.666666666666666
203,20089843,161318765,13,1990,1990,3,7.0,13.0
204,20089843,165799507,1,1990,1990,1,1.0,1.0
205,20089843,177328695,360,1990,1990,12,3.1312895848409354,28.847465034965012
206,20089843,197604219,161,1990,1990,3,1.4497861555520348,12.38461538461539
207,20089843,201448701,40,1990,1990,3,7.000000000000002,40.0
208,20089843,219193219,28,1990,1990,1,0.22580645161290308,1.75
209,20089843,867280407,10,1990,1990,1,3.3333333333333335,5.0
210,20089843,1282311441,21,1990,1990,1,0.16935483870967732,1.3125
211,20089843,1289243028,15,1990,1990,2,0.6129032258064515,1.2083333333333333
212,20089843,1315649409,1935,1990,1990,12,16.828184122226286,155.12412587412658
213,20089843,1319063186,7,1990,1990,2,4.0,7.0
214,20089843,1321305853,3,1990,1990,3,2.5,1.8333333333333333
215,20089843,1343871089,30,1990,1990,2,0.8924731182795698,2.75
216,20089843,2799567181,2,1990,1990,1,0.18181818181818182,0.25
217,20089843,2799853436,3,1990,1990,1,3.0,3.0
218,20382870,20382870,34,1990,1990,8,17.0,34.0
219,23732399,23732399,26,1990,1990,4,10.0,26.0
220,23732399,131249849,12,1990,1990,1,4.0,12.0
221,24571045,24571045,6,1990,1990,1,1.5,1.9999999999999998
222,24603500,6902469,1,1990,1990,1,1.0,1.0
223,24603500,24603500,137,1990,1990,35,58.3,125.5
224,24603500,47251452,20,1990,1990,1,4.000000000000001,20.0
225,24603500,66958751,2,1990,1990,2,1.0,1.0
226,24603500,95457486,27,1990,1990,5,5.35,13.5
227,24603500,103163165,9,1990,1990,1,9.0,9.0
228,24603500,107139065,4,1990,1990,2,1.5,3.5
