AffiliationId,Rank,NormalizedName,DisplayName,GridId,OfficialPage,WikiPage,PaperCount,PaperFamilyCount,CitationCount,Iso3166Code,Latitude,Longitude,CreatedDate
2800114425,14841,natividad medical center,Natividad Medical Center,grid.415851.c,null,https://en.wikipedia.org/wiki/Natividad_Medical_Center,53,53,585,US,36.6975,-121.6326,2018-05-17
2800269282,16154,gritman medical center,Gritman Medical Center,grid.492347.f,null,https://en.wikipedia.org/wiki/Gritman_Medical_Center,11,11,245,US,46.7285,-117.0005,2018-05-17
2800541761,16098,veterans of foreign wars,Veterans of Foreign Wars,grid.480541.c,null,https://en.wikipedia.org/wiki/Veterans_of_Foreign_Wars,15,15,226,US,39.066814,-94.59101,2018-05-17
2800548410,19442,united states national library of medicine,United States National Library of Medicine,grid.280285.5,null,https://en.wikipedia.org/wiki/United_States_National_Library_of_Medicine,1,1,0,US,38.995953,-77.09883,2018-05-17
2801052714,15882,phoenix society for burn survivors,Phoenix Society for Burn Survivors,grid.489882.7,null,https://en.wikipedia.org/wiki/Phoenix_Society_for_Burn_Survivors,15,15,232,US,42.883324,-85.71005,2018-05-17
2801232392,17190,walla walla general hospital,Walla Walla General Hospital,grid.461494.a,null,https://en.wikipedia.org/wiki/Walla_Walla_General_Hospital,6,6,53,US,46.0552,-118.3297,2018-05-17
2802178090,16305,inland northwest health services,Inland Northwest Health Services,grid.429108.6,null,https://en.wikipedia.org/wiki/Inland_Northwest_Health_Services,14,14,111,US,47.65652,-117.42168,2018-05-17
2802574017,16757,northwest state community college,Northwest State Community College,grid.431169.8,null,https://en.wikipedia.org/wiki/Northwest_State_Community_College,12,12,28,US,41.45066,-84.29809,2018-05-17
2802699871,13809,plan international,Plan International,grid.475630.3,null,https://en.wikipedia.org/wiki/Plan_USA,121,120,1788,US,38.906334,-77.049736,2018-05-17
2802852823,16890,centennial hills hospital,Centennial Hills Hospital,grid.461333.0,null,https://en.wikipedia.org/wiki/Centennial_Hills_Hospital,1,1,216,US,36.28705,-115.28605,2018-05-17
2803053543,17157,pikes peak library district,Pikes Peak Library District,grid.475616.7,null,https://en.wikipedia.org/wiki/Pikes_Peak_Library_District,8,8,20,US,38.84,-104.52,2018-05-17
2914533828,18402,st anne mercy hospital,St. Anne Mercy Hospital,grid.461505.3,null,https://en.wikipedia.org/wiki/St._Anne_Mercy_Hospital,2,2,23,US,41.69361,-83.62583,2019-02-21
3018196432,13019,c r bard,C. R. Bard,grid.471184.f,https://www.crbard.com/Home.html,https://en.wikipedia.org/wiki/C._R._Bard,322,322,6626,US,40.693157,-74.41122,2020-05-01
206405,15204,new york telephone,New York Telephone,null,http://www.verizon.com/,http://en.wikipedia.org/wiki/Verizon_New_York,35,35,279,US,40.7139,-74.00349,2016-06-24
91054889,17259,sme,SME,grid.487728.6,http://www.sme.org/,http://en.wikipedia.org/wiki/SME_(society),7,7,25,US,42.32717,-83.239876,2016-06-24
125945398,14860,mcpherson college,McPherson College,grid.454597.e,http://www.mcpherson.edu/,http://en.wikipedia.org/wiki/McPherson_College,53,53,635,US,38.37139,-97.64444,2016-06-24
129567078,11631,huntington medical research institutes,Huntington Medical Research Institutes,grid.280933.3,http://www.hmri.org/,http://en.wikipedia.org/wiki/Huntington_Medical_Research_Institutes,686,676,23291,US,34.091293,-117.95116,2016-06-24
148258087,13992,austin presbyterian theological seminary,Austin Presbyterian Theological Seminary,grid.462037.4,http://www.austinseminary.edu/,http://en.wikipedia.org/wiki/Austin_Presbyterian_Theological_Seminary,222,222,151,US,30.2923,-97.7377,2016-06-24
154182229,17344,providence christian college,Providence Christian College,grid.465603.2,http://www.providencecc.edu/,http://en.wikipedia.org/wiki/Providence_Christian_College,4,4,54,US,34.03295,-117.63359,2016-06-24
156071443,14030,upsala college,Upsala College,grid.422026.0,null,http://en.wikipedia.org/wiki/Upsala_College,63,63,1897,US,40.776066,-74.208145,2016-06-24
170040867,12726,global environment facility,Global Environment Facility,grid.484171.f,http://www.thegef.org/,http://en.wikipedia.org/wiki/Global_Environment_Facility,121,120,5195,US,38.90728,-77.02281,2016-06-24
184663656,15234,bingham mccutchen,Bingham McCutchen,null,http://www.bingham.com/,http://en.wikipedia.org/wiki/Bingham_McCutchen,43,43,371,US,42.35607,-71.05699,2016-06-24
201426678,13671,eastern mennonite university,Eastern Mennonite University,grid.255398.0,http://www.emu.edu/,http://en.wikipedia.org/wiki/Eastern_Mennonite_University,223,222,1603,US,38.470966,-78.87952,2016-06-24
268714373,12223,oklahoma state university tulsa,Oklahoma State University–Tulsa,null,https://health.okstate.edu/,http://en.wikipedia.org/wiki/Oklahoma_State_University–Tulsa,603,597,11538,US,36.16361,-95.98833,2016-06-24
307696790,14847,international society for disease surveillance,International Society for Disease Surveillance,null,http://www.syndromic.org/,http://en.wikipedia.org/wiki/International_Society_for_Disease_Surveillance,40,40,471,US,42.20639,-71.00481,2016-06-24
869837907,15931,international speedway corporation,International Speedway Corporation,null,http://www.iscmotorsports.com/,http://en.wikipedia.org/wiki/International_Speedway_Corporation,32,32,18,US,29.21228,-81.00328,2016-06-24
